Datetime,Temp Interna,Temp Ambiente,Temp Referencia,Acionamento Atuadores % (Resistor/Ventoinha)
15-06-2023 18:00:49,27.5,22.6,30.0,100
15-06-2023 18:00:51,48.62,22.6,30.0,-100
15-06-2023 18:00:52,48.56,22.59,30.0,-100
15-06-2023 18:00:53,48.5,22.6,30.0,-100
15-06-2023 18:00:55,48.56,22.6,30.0,-100
15-06-2023 18:00:56,48.5,22.61,30.0,-100
15-06-2023 18:00:58,48.5,22.61,30.0,-100
15-06-2023 18:00:59,48.44,22.62,30.0,-100
15-06-2023 18:01:01,48.38,22.63,30.0,-100
15-06-2023 18:01:02,48.38,22.65,30.0,-100
15-06-2023 18:01:04,48.38,22.66,30.0,-100
15-06-2023 18:01:05,48.31,22.69,30.0,-100
15-06-2023 18:01:06,48.31,22.71,30.0,-100
15-06-2023 18:01:08,48.25,22.73,30.0,-100
15-06-2023 18:01:09,48.19,22.74,30.0,-100
15-06-2023 18:01:11,48.12,22.76,30.0,-100
15-06-2023 18:01:12,48.12,22.77,30.0,-100
15-06-2023 18:01:14,48.06,22.78,30.0,-100
15-06-2023 18:01:15,48.06,22.79,30.0,-100
15-06-2023 18:01:17,48.0,22.79,30.0,-100
15-06-2023 18:01:18,47.94,22.8,30.0,-100
15-06-2023 18:01:19,47.94,22.8,30.0,-100
15-06-2023 18:01:21,47.88,22.81,30.0,-100
15-06-2023 18:01:22,47.81,22.81,30.0,-100
15-06-2023 18:01:24,47.75,22.82,30.0,-100
15-06-2023 18:01:25,47.69,22.83,30.0,-100
15-06-2023 18:01:27,47.69,22.83,30.0,-100
15-06-2023 18:01:28,47.62,22.84,30.0,-100
15-06-2023 18:01:30,47.56,22.85,30.0,-100
15-06-2023 18:01:31,47.5,22.85,30.0,-100
15-06-2023 18:01:32,47.5,22.87,30.0,-100
15-06-2023 18:01:34,47.44,22.88,30.0,-100
15-06-2023 18:01:35,47.31,22.9,30.0,-100
15-06-2023 18:01:37,47.25,22.92,30.0,-100
15-06-2023 18:01:38,47.19,22.93,30.0,-100
15-06-2023 18:01:40,47.12,22.95,30.0,-100
15-06-2023 18:01:41,47.06,22.96,30.0,-100
15-06-2023 18:01:43,47.06,22.98,30.0,-100
15-06-2023 18:01:44,47.0,22.99,30.0,-100
15-06-2023 18:01:45,46.88,23.01,30.0,-100
15-06-2023 18:01:47,46.88,23.02,30.0,-100
15-06-2023 18:01:48,46.81,23.03,30.0,-100
15-06-2023 18:01:50,46.75,23.05,30.0,-100
15-06-2023 18:01:51,46.69,23.07,30.0,-100
15-06-2023 18:01:53,46.56,23.08,30.0,-100
15-06-2023 18:01:54,46.5,23.1,30.0,-100
15-06-2023 18:01:56,46.44,23.11,30.0,-100
15-06-2023 18:01:57,46.38,23.13,30.0,-100
15-06-2023 18:01:58,46.31,23.13,30.0,-100
15-06-2023 18:02:00,46.25,23.14,30.0,-100
15-06-2023 18:02:01,46.19,23.15,30.0,-100
15-06-2023 18:02:03,46.12,23.16,30.0,-100
15-06-2023 18:02:04,46.06,23.18,30.0,-100
15-06-2023 18:02:06,46.0,23.19,30.0,-100
15-06-2023 18:02:07,45.94,23.2,30.0,-100
15-06-2023 18:02:09,45.88,23.21,30.0,-100
15-06-2023 18:02:10,45.81,23.21,30.0,-100
15-06-2023 18:02:11,45.69,23.21,30.0,-100
15-06-2023 18:02:13,45.62,23.21,30.0,-100
15-06-2023 18:02:14,45.62,23.22,30.0,-100
15-06-2023 18:02:16,45.5,23.22,30.0,-100
15-06-2023 18:02:17,45.44,23.23,30.0,-100
