Datetime,Temp Interna,Temp Ambiente,Temp Referencia,Acionamento Atuadores % (Resistor/Ventoinha)
15-06-2023 17:54:08,52.62,22.7,60.0,100
15-06-2023 17:54:09,52.56,22.97,60.0,100
15-06-2023 17:54:11,52.56,23.02,60.0,100
15-06-2023 17:54:12,52.56,23.06,60.0,100
15-06-2023 17:54:14,52.56,23.07,60.0,100
15-06-2023 17:54:16,52.56,23.08,60.0,100
15-06-2023 17:54:17,52.5,23.09,60.0,100
15-06-2023 17:54:19,52.5,23.1,60.0,100
15-06-2023 17:54:20,52.5,23.11,60.0,100
15-06-2023 17:54:22,52.5,23.12,60.0,100
15-06-2023 17:54:23,52.5,23.12,60.0,100
15-06-2023 17:54:25,52.44,23.14,60.0,100
15-06-2023 17:54:26,52.44,23.14,60.0,100
15-06-2023 17:54:28,52.38,23.14,60.0,100
15-06-2023 17:54:29,52.38,23.14,60.0,100
15-06-2023 17:54:31,52.38,23.14,60.0,100
15-06-2023 17:54:33,52.38,23.14,60.0,100
15-06-2023 17:54:34,52.38,23.14,60.0,100
15-06-2023 17:54:36,52.31,23.14,60.0,100
15-06-2023 17:54:37,52.31,23.13,60.0,100
15-06-2023 17:54:39,52.31,23.12,60.0,100
15-06-2023 17:54:40,52.31,23.11,60.0,100
15-06-2023 17:54:42,52.31,23.11,60.0,100
15-06-2023 17:54:43,52.31,23.11,60.0,100
15-06-2023 17:54:45,52.25,23.11,60.0,100
15-06-2023 17:54:46,52.31,23.11,60.0,100
15-06-2023 17:54:48,52.25,23.11,55.0,-100
15-06-2023 17:54:50,52.25,23.11,55.0,100
15-06-2023 17:54:51,52.25,23.09,55.0,100
15-06-2023 17:54:53,52.25,23.08,55.0,100
15-06-2023 17:54:54,52.25,23.08,55.0,100
15-06-2023 17:54:56,52.25,23.07,55.0,100
15-06-2023 17:54:57,52.19,23.06,55.0,100
15-06-2023 17:54:59,52.19,23.05,55.0,100
15-06-2023 17:55:00,52.19,23.05,55.0,100
15-06-2023 17:55:02,52.19,23.04,55.0,100
15-06-2023 17:55:03,52.19,23.04,55.0,100
15-06-2023 17:55:05,52.19,23.04,55.0,100
15-06-2023 17:55:06,52.19,23.04,55.0,100
15-06-2023 17:55:08,52.19,23.04,55.0,100
15-06-2023 17:55:10,52.19,23.04,55.0,100
15-06-2023 17:55:11,52.19,23.05,55.0,100
15-06-2023 17:55:13,52.19,23.05,55.0,100
15-06-2023 17:55:14,52.19,23.04,55.0,100
15-06-2023 17:55:16,52.19,23.05,55.0,100
15-06-2023 17:55:17,52.19,23.05,55.0,100
15-06-2023 17:55:19,52.19,23.05,55.0,100
15-06-2023 17:55:20,52.12,23.05,55.0,100
15-06-2023 17:55:22,52.19,23.04,55.0,76
15-06-2023 17:55:23,52.19,23.03,55.0,100
15-06-2023 17:55:25,52.19,23.03,55.0,100
15-06-2023 17:55:27,52.19,23.02,55.0,100
15-06-2023 17:55:28,52.19,23.01,55.0,100
15-06-2023 17:55:30,52.19,23.01,55.0,100
15-06-2023 17:55:31,52.19,23.0,55.0,100
15-06-2023 17:55:33,52.19,23.0,55.0,100
15-06-2023 17:55:34,52.19,23.0,55.0,100
15-06-2023 17:55:36,52.25,23.0,55.0,78
15-06-2023 17:55:37,52.25,23.01,55.0,100
15-06-2023 17:55:39,52.25,23.01,55.0,100
15-06-2023 17:55:40,52.25,23.01,55.0,100
15-06-2023 17:55:42,52.25,23.01,55.0,100
15-06-2023 17:55:44,52.25,23.0,55.0,100
15-06-2023 17:55:45,52.31,23.0,55.0,76
15-06-2023 17:55:47,52.31,22.99,55.0,100
15-06-2023 17:55:48,52.31,23.0,55.0,100
15-06-2023 17:55:50,52.31,23.0,55.0,100
15-06-2023 17:55:51,52.31,23.01,55.0,100
15-06-2023 17:55:53,52.31,23.01,55.0,100
15-06-2023 17:55:54,52.31,23.01,55.0,100
15-06-2023 17:55:56,52.38,23.02,55.0,70
15-06-2023 17:55:57,52.38,23.03,55.0,98
15-06-2023 17:55:59,52.38,23.04,55.0,98
15-06-2023 17:56:00,52.38,23.05,55.0,98
15-06-2023 17:56:02,52.38,23.06,55.0,98
15-06-2023 17:56:04,52.38,23.07,55.0,98
15-06-2023 17:56:05,52.44,23.08,55.0,72
15-06-2023 17:56:07,52.38,23.09,55.0,100
15-06-2023 17:56:08,52.44,23.1,55.0,72
15-06-2023 17:56:10,52.44,23.1,55.0,96
15-06-2023 17:56:11,52.44,23.1,55.0,96
15-06-2023 17:56:13,52.5,23.1,55.0,70
15-06-2023 17:56:14,52.5,23.1,55.0,95
15-06-2023 17:56:16,52.5,23.1,50.0,-100
15-06-2023 17:56:17,52.5,23.09,50.0,-56
15-06-2023 17:56:19,52.5,23.09,45.0,-100
15-06-2023 17:56:21,52.5,23.09,45.0,-100
15-06-2023 17:56:22,52.56,23.08,45.0,-100
15-06-2023 17:56:24,52.56,23.08,45.0,-100
15-06-2023 17:56:25,52.56,23.09,45.0,-100
15-06-2023 17:56:27,52.56,23.09,45.0,-100
15-06-2023 17:56:28,52.56,23.1,45.0,-100
15-06-2023 17:56:30,52.5,23.1,45.0,-100
15-06-2023 17:56:31,52.5,23.11,45.0,-100
15-06-2023 17:56:33,52.5,23.13,45.0,-100
15-06-2023 17:56:34,52.5,23.14,45.0,-100
15-06-2023 17:56:36,52.5,23.16,45.0,-100
15-06-2023 17:56:38,52.5,23.17,45.0,-100
15-06-2023 17:56:39,52.44,23.19,45.0,-100
15-06-2023 17:56:41,52.44,23.21,45.0,-100
15-06-2023 17:56:42,52.44,23.22,45.0,-100
